number,value,datetime_start,datetime_complete,duration,params_conv_ch_0,params_conv_ch_1,params_conv_ch_10,params_conv_ch_11,params_conv_ch_12,params_conv_ch_13,params_conv_ch_2,params_conv_ch_3,params_conv_ch_4,params_conv_ch_5,params_conv_ch_6,params_conv_ch_7,params_conv_ch_8,params_conv_ch_9,params_dropout,params_kernel_size,params_linear_units_0,params_linear_units_1,params_lr,params_n_conv_layers,params_n_linear_layers,params_pool_every,params_pool_type,user_attrs_complexity,user_attrs_mean_cv_loss,state
30,0.4414751589711601,2025-12-08 05:19:16.137533,2025-12-08 05:24:27.276884,0 days 00:05:11.139351,128,32,16.0,16.0,256.0,128.0,128,16,256,128,256,256,128.0,256.0,0.3650208030863398,3,256,32.0,0.002358600538571802,14,2,2,avg,2144.0,0.4393311589711601,COMPLETE
31,0.7976645855535379,2025-12-08 05:24:27.387885,2025-12-08 05:34:47.095327,0 days 00:10:19.707442,16,16,,,,,64,128,256,64,64,32,,,0.3483787656517678,5,32,,0.00010587857133685314,8,1,4,max,656.0,0.7970085855535379,COMPLETE
32,0.26596723648636117,2025-12-08 05:34:47.199501,2025-12-08 05:39:21.789674,0 days 00:04:34.590173,128,16,32.0,,,,128,32,256,64,128,16,16.0,64.0,0.34139851568768537,3,32,,0.001079307653962653,11,1,2,max,896.0,0.26507123648636116,COMPLETE
33,0.3050505560754583,2025-12-08 05:39:21.905303,2025-12-08 05:51:55.956950,0 days 00:12:34.051647,256,128,,,,,32,128,256,256,16,64,,,0.43573399133451296,3,32,,0.0005294683222684888,8,1,4,max,1152.0,0.3038985560754583,COMPLETE
34,0.5033239082993476,2025-12-08 05:51:56.060949,2025-12-08 06:00:51.539203,0 days 00:08:55.478254,32,32,256.0,128.0,,,256,256,32,256,64,128,256.0,128.0,0.3320049872926388,5,32,,0.00011135358219553737,12,1,2,avg,1840.0,0.5014839082993476,COMPLETE
35,0.32586157455177966,2025-12-08 06:00:51.645442,2025-12-08 06:15:10.247859,0 days 00:14:18.602417,128,128,32.0,128.0,32.0,,16,256,16,64,128,32,16.0,64.0,0.3815168417147634,5,256,,0.004518953206005234,13,1,4,avg,1168.0,0.32469357455177966,COMPLETE
36,0.39321544569236994,2025-12-08 06:15:10.361859,2025-12-08 06:21:19.042105,0 days 00:06:08.680246,16,32,64.0,64.0,32.0,,64,32,256,32,64,256,16.0,256.0,0.4006167901559673,3,64,256.0,0.0007919531381889202,13,2,4,avg,1344.0,0.3918714456923699,COMPLETE
37,0.465129411581397,2025-12-08 06:21:19.153522,2025-12-08 06:32:00.457010,0 days 00:10:41.303488,256,16,16.0,32.0,,,256,32,256,64,64,256,32.0,128.0,0.39445636083259633,3,32,128.0,0.005758554425865888,12,2,4,avg,1488.0,0.463641411581397,COMPLETE
38,0.4007012943099708,2025-12-08 06:32:00.565011,2025-12-08 06:41:56.951024,0 days 00:09:56.386013,256,128,,,,,16,64,256,64,16,64,32.0,,0.3915991518007143,3,64,256.0,0.0006251879315184565,9,2,4,max,1056.0,0.3996452943099708,COMPLETE
39,0.3504635926319056,2025-12-08 06:41:57.060753,2025-12-08 07:00:24.410474,0 days 00:18:27.349721,128,256,,,,,32,128,32,64,16,128,64.0,16.0,0.33938514089068567,5,64,,0.007995757621776504,10,1,4,avg,896.0,0.34956759263190557,COMPLETE
